,Province,Pollutant,Year,Value,Per Capita,By Capita
318,MB,NOX,1996,72193.0219118398,1132782.0,0.06373072834123406
319,MB,VOC,1996,95768.2670927393,1132782.0,0.08454253959962227
320,NB,NH3,1996,5046.90492167546,752061.75,0.006710758686604471
321,NB,CO,1996,299075.921348076,752061.75,0.397674687415064
322,NB,SOX,1996,117203.080577593,752061.75,0.15584236344634333
323,NB,NOX,1996,71376.1860156218,752061.75,0.09490734772194145
324,NB,VOC,1996,80181.4954564024,752061.75,0.10661557439452597
325,NS,NH3,1996,4890.83616761603,930826.5,0.005254294079096405
326,NS,CO,1996,280482.071687272,930826.5,0.3013258342851992
327,NS,SOX,1996,201050.946129221,930826.5,0.21599185898684772
328,NS,NOX,1996,86220.6044428591,930826.5,0.09262800795084701
329,NS,VOC,1996,69152.3170394947,930826.5,0.07429130674674034
330,QC,NH3,1996,68489.4994115454,7243693.0,0.00945505274885965
331,QC,CO,1996,2160860.58092404,7243693.0,0.2983092437688952
332,QC,SOX,1996,367929.851783652,7243693.0,0.05079313159512033
333,QC,NOX,1996,332898.888527481,7243693.0,0.04595706755207337
334,QC,VOC,1996,485340.908092912,7243693.0,0.06700186052789812
335,SK,NH3,1996,71305.1203470199,1018105.75,0.07003704708181827
336,SK,CO,1996,529501.9113524,1018105.75,0.520085375563786
337,SK,SOX,1996,134391.307239925,1018105.75,0.1320013242631475
338,SK,NOX,1996,181336.559223897,1018105.75,0.1781117130748913
339,SK,VOC,1996,239284.910435504,1018105.75,0.23502952462011337
340,NL,NH3,1996,1029.55631791277,560576.0,0.0018366043460882559
341,NL,CO,1996,163410.552403578,560576.0,0.2915047244326871
342,NL,SOX,1996,73539.1486857715,560576.0,0.13118497525004907
343,NL,NOX,1996,50847.5588821717,560576.0,0.09070591477725001
344,NL,VOC,1996,44302.8446168665,560576.0,0.07903093356987545
345,PE,NH3,1996,3526.71755822344,135542.75,0.026019226835986727
346,PE,CO,1996,49569.0641451638,135542.75,0.36570797143457545
347,PE,SOX,1996,3107.51216555965,135542.75,0.02292643587030402
348,PE,NOX,1996,7377.44056025994,135542.75,0.05442888358292819
349,PE,VOC,1996,10352.3577731403,135542.75,0.07637706755352315
350,AB,NH3,1997,126274.333185743,2822523.0,0.04473810600861109
351,AB,CO,1997,1747506.53522988,2822523.0,0.6191292454410043
352,AB,SOX,1997,522989.264001654,2822523.0,0.18529140914056466
353,AB,NOX,1997,815873.317241737,2822523.0,0.28905816435924064
354,AB,VOC,1997,678362.261827271,2822523.0,0.24033896688433398
355,BC,NH3,1997,24261.030715911,3939701.5,0.006158088554655982
356,BC,CO,1997,2027978.9638128,3939701.5,0.5147544715793315
357,BC,SOX,1997,82107.3215675099,3939701.5,0.020841000661473947
358,BC,NOX,1997,316168.481311414,3939701.5,0.08025188743650095
359,BC,VOC,1997,354883.302639578,3939701.5,0.09007872871576134
360,ON,NH3,1997,109043.284612472,11208193.25,0.009728890480405662
361,ON,CO,1997,3172562.73411307,11208193.25,0.2830574619252813
362,ON,SOX,1997,597581.83909303,11208193.25,0.05331651817236734
363,ON,NOX,1997,673575.304626051,11208193.25,0.060096689056110895
364,ON,VOC,1997,805333.822897765,11208193.25,0.07185224281333345
365,MB,NH3,1997,51391.9282514993,1135655.0,0.04525311670489656
366,MB,CO,1997,342651.545405868,1135655.0,0.30172151349297804
367,MB,SOX,1997,363010.75366499,1135655.0,0.3196487962145106
368,MB,NOX,1997,73438.9717528475,1135655.0,0.06466662124751575
369,MB,VOC,1997,91510.0314075009,1135655.0,0.08057907675086262
370,NB,NH3,1997,5089.9484814223,752385.0,0.006765085004914106
371,NB,CO,1997,295285.048192406,752385.0,0.39246535775222263
372,NB,SOX,1997,118975.159133521,752385.0,0.15813068991742393
373,NB,NOX,1997,74847.4350654717,752385.0,0.09948023294652565
374,NB,VOC,1997,78355.6506392085,752385.0,0.10414302602950418
375,NS,NH3,1997,4936.64604666583,932329.5,0.005294958538441431
376,NS,CO,1997,274817.876936909,932329.5,0.2947647553111952
377,NS,SOX,1997,194490.762124356,932329.5,0.20860732404622614
378,NS,NOX,1997,87735.0556655626,932329.5,0.09410305655410732
379,NS,VOC,1997,68066.7654768087,932329.5,0.07300719914666295
380,QC,NH3,1997,68419.097981244,7272061.75,0.009408486937180369
381,QC,CO,1997,2077048.84503501,7272061.75,0.2856203531323163
382,QC,SOX,1997,356111.918043543,7272061.75,0.04896986993317858
383,QC,NOX,1997,345143.514116164,7272061.75,0.0474615763701627
384,QC,VOC,1997,475360.785720039,7272061.75,0.06536808982955061
385,SK,NH3,1997,75002.5798087229,1017834.25,0.07368840241790145
386,SK,CO,1997,507239.875414579,1017834.25,0.4983521387834797
387,SK,SOX,1997,134862.082805191,1017834.25,0.1324990614190778
388,SK,NOX,1997,186118.327350553,1017834.25,0.1828572062205148
389,SK,VOC,1997,248207.76407891,1017834.25,0.24385872658432353
390,NL,NH3,1997,1049.34313976404,551774.25,0.001901761707372245
391,NL,CO,1997,158971.938682483,551774.25,0.2881104703281877
392,NL,SOX,1997,75170.1503788735,551774.25,0.13623352372618602
393,NL,NOX,1997,53446.4857860154,551774.25,0.09686295760633158
394,NL,VOC,1997,44145.4477144812,551774.25,0.08000635715508869
395,PE,NH3,1997,3518.9476118535,136031.5,0.02586862316341068
396,PE,CO,1997,49679.4001703999,136031.5,0.36520511918489396
397,PE,SOX,1997,3246.87028109021,136031.5,0.023868517814551852
398,PE,NOX,1997,7841.30408887859,136031.5,0.05764329650763676
399,PE,VOC,1997,10428.6358084191,136031.5,0.07666338905635166
400,AB,NH3,1998,131692.349068894,2887726.25,0.045604166623790604
401,AB,CO,1998,1756031.13945933,2887726.25,0.6081016645741022
402,AB,SOX,1998,493223.801071405,2887726.25,0.17080005456590805
403,AB,NOX,1998,829050.87866074,2887726.25,0.2870946921165883
404,AB,VOC,1998,679922.507283029,2887726.25,0.2354525493138517
405,BC,NH3,1998,23186.0593398967,3981074.25,0.005824071063205289
406,BC,CO,1998,1994938.70882756,3981074.25,0.5011056271627087
407,BC,SOX,1998,81153.9661185652,3981074.25,0.020384941606795
408,BC,NOX,1998,316603.947766562,3981074.25,0.07952726522660611
409,BC,VOC,1998,347896.882993605,3981074.25,0.08738769014258023
410,ON,NH3,1998,108134.153263157,11347200.5,0.009529588664900827
411,ON,CO,1998,3091689.81791663,11347200.5,0.27246278215641206
412,ON,SOX,1998,639968.584420406,11347200.5,0.05639880818360494
413,ON,NOX,1998,702958.764529173,11347200.5,0.06194997299370651
414,ON,VOC,1998,788659.769422276,11347200.5,0.06950258519026574
415,MB,NH3,1998,53414.1246840866,1136941.0,0.046980559839153134
416,MB,CO,1998,330663.027556597,1136941.0,0.29083569644915347
417,MB,SOX,1998,363205.038340608,1136941.0,0.3194581234563693
418,MB,NOX,1998,73108.0033153065,1136941.0,0.06430237216821849
419,MB,VOC,1998,88566.0759500474,1136941.0,0.07789856813154543
420,NB,NH3,1998,5260.28275048259,751071.75,0.007003702043756259
421,NB,CO,1998,282290.417302412,751071.75,0.3758501332294977
422,NB,SOX,1998,119661.107615528,751071.75,0.15932047452926834
423,NB,NOX,1998,78038.6702290963,751071.75,0.10390308280014034
424,NB,VOC,1998,73655.9645408789,751071.75,0.09806781381522989
425,NS,NH3,1998,4855.29479979817,932289.5,0.005207926078539091
426,NS,CO,1998,261385.838962839,932289.5,0.2803698196352517
427,NS,SOX,1998,189151.14250043,932289.5,0.20288884783152658
428,NS,NOX,1998,87724.3659115603,932289.5,0.09409562792626142
429,NS,VOC,1998,64444.8418622225,932289.5,0.06912535415471535
430,QC,NH3,1998,67651.3905963846,7294435.5,0.009274383274262225
431,QC,CO,1998,1968631.25143906,7294435.5,0.2698812336388553
432,QC,SOX,1998,328812.633090391,7294435.5,0.04507718699965076
433,QC,NOX,1998,345916.616354562,7294435.5,0.04742198575264145
434,QC,VOC,1998,450903.583107522,7294435.5,0.06181473303966044
435,SK,NH3,1998,71204.5231786079,1017422.25,0.06998522312501805
436,SK,CO,1998,494523.167764524,1017422.25,0.48605499610857145
437,SK,SOX,1998,135952.654970849,1017422.25,0.13362461354747154
438,SK,NOX,1998,175424.863996898,1017422.25,0.172420903903859
439,SK,VOC,1998,244178.936518681,1017422.25,0.2399976376756858
440,NL,NH3,1998,1045.88252226449,541499.75,0.0019314552264603816
441,NL,CO,1998,152719.913924104,541499.75,0.28203136552529157
442,NL,SOX,1998,63461.1789928349,541499.75,0.11719521383497389
443,NL,NOX,1998,54663.7462536841,541499.75,0.10094879315029065
444,NL,VOC,1998,50506.6239131001,541499.75,0.093271740038846
445,PE,NH3,1998,3644.09710259611,135821.25,0.026830095457051895
446,PE,CO,1998,48142.9210503905,135821.25,0.354457944175823
447,PE,SOX,1998,3107.99083173825,135821.25,0.022882949698506308
448,PE,NOX,1998,8269.68846170969,135821.25,0.06088655833832842
449,PE,VOC,1998,9914.31854097972,135821.25,0.07299534160508551
450,AB,NH3,1999,134691.36684567164,2945711.5,0.04572456156879981
451,AB,CO,1999,1734278.0555208807,2945711.5,0.5887467443844656
452,AB,SOX,1999,497998.28697757056,2945711.5,0.16905874420409825
453,AB,NOX,1999,845753.2473105935,2945711.5,0.28711340106137123
454,AB,VOC,1999,633822.9896239716,2945711.5,0.21516804670924888
455,BC,NH3,1999,23634.7049711393,4007762.75,0.005897231559213255
456,BC,CO,1999,1795371.3389170575,4007762.75,0.4479734582385291
457,BC,SOX,1999,81576.91949748852,4007762.75,0.02035472770874187
458,BC,NOX,1999,322736.9246856979,4007762.75,0.08052795158238793
459,BC,VOC,1999,327745.4850990556,4007762.75,0.08177766637984137
460,ON,NH3,1999,106350.98489760656,11484167.25,0.009260661446532535
461,ON,CO,1999,3068227.6262554536,11484167.25,0.267170231803743
462,ON,SOX,1999,576606.5237755369,11484167.25,0.05020882326278703
463,ON,NOX,1999,726704.6936285967,11484167.25,0.06327883230963888
464,ON,VOC,1999,790496.7264682065,11484167.25,0.06883361320501549
465,MB,NH3,1999,51170.85914166043,1141378.5,0.04483250660640658
466,MB,CO,1999,330273.60139712103,1141378.5,0.289363783702883
467,MB,SOX,1999,362230.1546623117,1141378.5,0.3173619922421105
468,MB,NOX,1999,74697.6144952411,1141378.5,0.06544508635412451
469,MB,VOC,1999,89261.8414883807,1141378.5,0.07820529428965124
470,NB,NH3,1999,5212.847125124886,750361.5,0.006947114324395489
471,NB,CO,1999,277026.195090129,750361.5,0.3691903103905637
472,NB,SOX,1999,120626.4136104128,750361.5,0.16075773291994966
473,NB,NOX,1999,83925.7245378701,750361.5,0.11184705576961251
474,NB,VOC,1999,72226.19458535116,750361.5,0.09625519777514059
475,NS,NH3,1999,4773.520996945335,933496.5,0.005113592816840058
476,NS,CO,1999,259152.9437614494,933496.5,0.2776153352063445
477,NS,SOX,1999,189050.82530727275,933496.5,0.20251905101655202
478,NS,NOX,1999,91534.32700938635,933496.5,0.09805535104779327
479,NS,VOC,1999,63473.20672859058,933496.5,0.06799512020515404
480,QC,NH3,1999,66851.40164053511,7320815.75,0.009131687495418131
481,QC,CO,1999,1922122.566369085,7320815.75,0.26255579050313965
482,QC,SOX,1999,304824.82342599874,7320815.75,0.041638095239044735
483,QC,NOX,1999,348454.95893081784,7320815.75,0.04759783210372667
484,QC,VOC,1999,445511.85315800336,7320815.75,0.060855493208936906
485,SK,NH3,1999,68051.4695020295,1014926.25,0.06705065466779433
486,SK,CO,1999,496537.5508740696,1014926.25,0.4892351053823562
487,SK,SOX,1999,130889.52499711823,1014926.25,0.12896456761968492
488,SK,NOX,1999,175896.28675760215,1014926.25,0.17330942692397813
489,SK,VOC,1999,236617.9816283578,1014926.25,0.23313810400347593
490,NL,NH3,1999,1064.3360967834385,534147.0,0.0019925902359901647
491,NL,CO,1999,145360.88157072655,534147.0,0.2721364747358434
492,NL,SOX,1999,53008.80031175239,534147.0,0.0992400974109232
493,NL,NOX,1999,55482.71437275554,534147.0,0.10387162030818396
494,NL,VOC,1999,53827.29461874248,534147.0,0.10077243646176517
495,PE,NH3,1999,3582.731097301343,136181.0,0.0263085973616095
496,PE,CO,1999,48262.50410120752,136181.0,0.35439968939284866
497,PE,SOX,1999,2701.1174254369644,136181.0,0.019834759808174153
498,PE,NOX,1999,8644.88221507711,136181.0,0.06348082489537535
499,PE,VOC,1999,9797.186773505817,136181.0,0.07194239118163193
500,AB,NH3,2000,139957.7765580304,2996031.75,0.04671438363696593
501,AB,CO,2000,1677587.6715244297,2996031.75,0.5599365465751255
502,AB,SOX,2000,490794.8877013029,2996031.75,0.16381498216809715
503,AB,NOX,2000,801836.5083859899,2996031.75,0.2676328474776644
504,AB,VOC,2000,630612.1689597053,2996031.75,0.21048247200975265
505,BC,NH3,2000,24071.02620397197,4037127.5,0.005962414167987503
506,BC,CO,2000,1716903.250311155,4037127.5,0.42527843133791415
507,BC,SOX,2000,80071.81692122918,4037127.5,0.019833858831862304
508,BC,NOX,2000,317658.47361329314,4037127.5,0.07868428074498345
509,BC,VOC,2000,314185.0157942773,4037127.5,0.07782390221618646
510,ON,NH3,2000,106399.51136028446,11657471.75,0.009127151550702619
511,ON,CO,2000,3104570.9031099486,11657471.75,0.2663159705370891
512,ON,SOX,2000,587488.2261068523,11657471.75,0.05039585243745946
513,ON,NOX,2000,741406.0288508333,11657471.75,0.06359921299837877
514,ON,VOC,2000,763149.1799363827,11657471.75,0.06546438166889683
515,MB,NH3,2000,51708.00024614059,1146449.25,0.045102738081202104
516,MB,CO,2000,323479.9767479759,1146449.25,0.282158130198939
517,MB,SOX,2000,361692.8607592112,1146449.25,0.3154896396497369
518,MB,NOX,2000,75624.71754262713,1146449.25,0.06596429588368358
519,MB,VOC,2000,85976.64669199311,1146449.25,0.07499385314438743
520,NB,NH3,2000,5241.0236525657165,750524.5,0.006983147988594265
521,NB,CO,2000,267766.6874282315,750524.5,0.3567727468300256
522,NB,SOX,2000,122928.6432707288,750524.5,0.16379031366827973
523,NB,NOX,2000,88730.86081734189,750524.5,0.11822513564492816
524,NB,VOC,2000,68370.50187668271,750524.5,0.09109696202679954
525,NS,NH3,2000,4672.310838895568,934291.25,0.005000914692175023
526,NS,CO,2000,267689.380213475,934291.25,0.286515987614649
527,NS,SOX,2000,190312.9682252085,934291.25,0.20369768872951394
528,NS,NOX,2000,94813.0702866262,934291.25,0.10148127822734741
529,NS,VOC,2000,62482.01297177484,934291.25,0.06687637604630767
530,QC,NH3,2000,66526.3519657713,7353292.75,0.009047151286853268
531,QC,CO,2000,1904562.0208288133,7353292.75,0.25900805062178617
532,QC,SOX,2000,305482.91470711585,7353292.75,0.04154369003017265
533,QC,NOX,2000,337729.05913962267,7353292.75,0.04592895599588669
534,QC,VOC,2000,430688.5801723114,7353292.75,0.058570846396984726
535,SK,NH3,2000,71233.99933134673,1008477.5,0.07063518951225657
536,SK,CO,2000,521390.10755585314,1008477.5,0.517007179194234
537,SK,SOX,2000,131109.5237096893,1008477.5,0.13000738609407675
538,SK,NOX,2000,182819.25756321003,1008477.5,0.18128243571444086
539,SK,VOC,2000,241476.3650611663,1008477.5,0.2394464577158799
540,NL,NH3,2000,1095.308005157589,529011.5,0.002070480519152398
541,NL,CO,2000,140691.91895022467,529011.5,0.2659524773095191
542,NL,SOX,2000,54455.62206290315,529011.5,0.10293844663661027
543,NL,NOX,2000,56344.56213927707,529011.5,0.10650914420438322
544,NL,VOC,2000,57310.08236575151,529011.5,0.10833428453965842
545,PE,NH3,2000,3476.155798857988,136400.25,0.02548496647812587
546,PE,CO,2000,46872.90274687031,136400.25,0.3436423521721574
547,PE,SOX,2000,2174.0950747880406,136400.25,0.015939084237661154
548,PE,NOX,2000,8752.208297907722,136400.25,0.06416563237902953
549,PE,VOC,2000,9327.848298611856,136400.25,0.06838585925327743
550,AB,NH3,2001,139163.63039002882,3051405.75,0.04560639973560672
551,AB,CO,2001,1576101.4273097124,3051405.75,0.5165165030280593
552,AB,SOX,2001,486094.7241083352,3051405.75,0.159301896874362
553,AB,NOX,2001,769751.1708425825,3051405.75,0.2522611654784299
554,AB,VOC,2001,601978.6682344684,3051405.75,0.19727912888493063
555,BC,NH3,2001,24469.07246323144,4070989.75,0.0060105954487435
556,BC,CO,2001,1606424.987127944,4070989.75,0.39460305374827925
557,BC,SOX,2001,79950.09033425781,4070989.75,0.019638980995778193
558,BC,NOX,2001,301845.25182200875,4070989.75,0.07414542171765692
559,BC,VOC,2001,298500.236541528,4070989.75,0.07332375045688289
560,ON,NH3,2001,104775.371852801,11864653.25,0.008830883604019443
561,ON,CO,2001,2742620.8581315875,11864653.25,0.2311589559628797
562,ON,SOX,2001,589770.5238487036,11864653.25,0.049708197232709146
563,ON,NOX,2001,688142.3286549269,11864653.25,0.05799936282629472
564,ON,VOC,2001,653417.9671848541,11864653.25,0.05507265601587253
565,MB,NH3,2001,51392.41794504378,1150436.0,0.04467212252141256
566,MB,CO,2001,289213.7669740087,1150436.0,0.2513949206857302
567,MB,SOX,2001,371076.4115275999,1150436.0,0.32255285085619706
568,MB,NOX,2001,72686.49597803115,1150436.0,0.06318169457321497
569,MB,VOC,2001,78751.90239585208,1150436.0,0.06845396214639675
570,NB,NH3,2001,5290.999653627558,749654.75,0.007057915198466437
571,NB,CO,2001,249136.1052796312,749654.75,0.3323344583351619
572,NB,SOX,2001,118678.52649512715,749654.75,0.1583109111162534
573,NB,NOX,2001,84921.88219047479,749654.75,0.11328132342318219
574,NB,VOC,2001,60076.5260426364,749654.75,0.0801389253421477
575,NS,NH3,2001,4549.786295968746,933050.5,0.004876248708905623
576,NS,CO,2001,237884.8925282565,933050.5,0.2549539307124925
577,NS,SOX,2001,184152.1414867565,933050.5,0.19736567472688402
578,NS,NOX,2001,94832.23116985144,933050.5,0.10163676153632782
579,NS,VOC,2001,54534.68836295126,933050.5,0.058447734997142446
580,QC,NH3,2001,68454.70920937689,7391445.5,0.009261342616863899
581,QC,CO,2001,1779296.9136454277,7391445.5,0.24072380884705538
582,QC,SOX,2001,275765.3521066364,7391445.5,0.03730871750412506
583,QC,NOX,2001,318050.8697994841,7391445.5,0.0430295900577883
584,QC,VOC,2001,386597.2042512996,7391445.5,0.05230332879425271
585,SK,NH3,2001,72399.30858496515,1001131.5,0.07231748135481218
586,SK,CO,2001,494104.3678235838,1001131.5,0.49354592061440855
587,SK,SOX,2001,136518.8591181102,1001131.5,0.13636456261551075
588,SK,NOX,2001,173505.84508188508,1001131.5,0.17330974510529845
589,SK,VOC,2001,239105.8825748909,1001131.5,0.23883564004817637
590,NL,NH3,2001,1122.424872535575,523040.25,0.0021459627103948024
591,NL,CO,2001,131487.04513681773,523040.25,0.2513899171943607
592,NL,SOX,2001,60090.93886838556,523040.25,0.1148877908887233
593,NL,NOX,2001,57338.09528039561,523040.25,0.10962463267481921
594,NL,VOC,2001,50970.54872377856,523040.25,0.09745052837478292
595,PE,NH3,2001,3395.9387649369837,136604.25,0.02485968602687679
596,PE,CO,2001,42474.63995232412,136604.25,0.3109320533755291
597,PE,SOX,2001,2091.9216202784564,136604.25,0.015313737458962341
598,PE,NOX,2001,8210.43773697808,136604.25,0.0601038235412008
599,PE,VOC,2001,8219.983582749353,136604.25,0.06017370310769506
600,AB,NH3,2002,139037.73831332734,3118455.5,0.04458544889074971
601,AB,CO,2002,1474691.5433326764,3118455.5,0.4728916424597614
602,AB,SOX,2002,467389.4774019199,3118455.5,0.14987851434850358
603,AB,NOX,2002,739044.5836218625,3118455.5,0.2369905819152662
604,AB,VOC,2002,584834.3157174744,3118455.5,0.18753973424263212
605,BC,NH3,2002,23106.8223825014,4097597.75,0.005639114376832475
606,BC,CO,2002,1516065.8700079492,4097597.75,0.36998894535412835
607,BC,SOX,2002,67490.22609686853,4097597.75,0.01647068116846475
608,BC,NOX,2002,311921.3234300143,4097597.75,0.07612297313224908
609,BC,VOC,2002,293137.8668532275,4097597.75,0.07153895641738564
610,ON,NH3,2002,111576.55992892515,12062749.0,0.00924967931678966
611,ON,CO,2002,2628007.797295253,12062749.0,0.21786143418015685
612,ON,SOX,2002,598918.3693935213,12062749.0,0.04965023887950593
613,ON,NOX,2002,657254.9588559697,12062749.0,0.05448633299556923
614,ON,VOC,2002,636176.5831072411,12062749.0,0.052738938952243894
615,MB,NH3,2002,53829.164945019744,1155388.0,0.04658968670699345
616,MB,CO,2002,299529.34187779087,1155388.0,0.25924567494018536
617,MB,SOX,2002,380861.5214438,1155388.0,0.32963949897679395
618,MB,NOX,2002,71476.83072556187,1155388.0,0.061863919934742155
619,MB,VOC,2002,78680.9432018662,1155388.0,0.0680991521479072
620,NB,NH3,2002,5337.07445172883,749048.5,0.007125138694929408
621,NB,CO,2002,262544.43721087376,749048.5,0.350503922257202
622,NB,SOX,2002,120092.67482876928,749048.5,0.16032696791832474
623,NB,NOX,2002,83501.0712269914,749048.5,0.11147618775952611
624,NB,VOC,2002,62410.7412636715,749048.5,0.0833200270258488
625,NS,NH3,2002,4522.00478569874,934774.25,0.00483753674825632
626,NS,CO,2002,229356.4712578136,934774.25,0.2453602795089976
627,NS,SOX,2002,177321.4692197094,934774.25,0.18969443073523837
628,NS,NOX,2002,95840.02710484718,934774.25,0.102527457410008
629,NS,VOC,2002,51815.31837166934,934774.25,0.055430836238449376
630,QC,NH3,2002,69670.08421241246,7435861.5,0.009369470398609827
